Glottocode,LanguageName,Source,consonant,tone,vowel
dhal1246,Dhay'yi,er,20,0,6
dhan1270,Dhangu,er,20,0,6
dhar1247,Tharrkari,er,25,0,6
dhar1248,Dharumbal,er,18,0,3
dhim1246,Dhimal,ea,31,0,22
dhiv1236,Dhivehi,ea,27,0,12
dhud1236,Dhudhuroa,er,15,0,6
dhur1239,Dhurga,er,19,0,6
dhuw1249,YOLNGU,upsid,20,0,3
dibo1245,babole,gm,21,4,6
didi1258,Didinga,gm,36,4,18
dido1241,Tsez,ea,36,0,6
dier1241,Diyari,er,22,0,3
dier1241,DIYARI,upsid,22,0,3
dier1241,Yarluyandi,er,21,0,3
digo1242,Digor Ossetic,ea,36,0,6
digo1243,Digo,gm,41,2,5
dime1235,Dime,gm,53,2,18
diml1238,Dimili,ph,30,0,14
dink1262,Dinka,gm,20,3,26
dira1238,Thirarri,er,22,0,3
diri1252,diriku,gm,23,0,5
dita1238,ditammari,aa,17,3,12
dizi1235,DIZI,upsid,24,0,6
djab1234,Djabwurung,er,17,0,4
djad1246,Jardwadjali,er,17,0,4
djam1255,Jaminjung,er,18,0,4
djam1256,Djambarrpuyngu,er,25,0,6
djan1238,Djangun,er,13,0,3
djap1238,Djapu,er,19,0,6
djau1244,Jawoyn,er,22,0,5
djaw1238,Jawi,er,17,0,3
djee1236,Ndjebbana,er,16,0,5
djeo1235,Jabutí,saphon,14,0,10
djin1251,Jingulu,er,17,0,3
djin1252,Djinba,er,22,0,3
djin1253,Djinang,er,22,0,3
djiw1241,Jiwarli,er,20,0,6
dobu1241,Dobu,ph,19,0,5
dolg1241,Dolgan,ea,22,0,20
doma1258,Domari,ea,33,0,12
domp1238,Dompo,gm,22,2,7
dong1285,Dongxiang,ea,28,0,6
doya1240,doayo,aa,22,4,22
doya1240,DOAYO,upsid,22,0,12
dual1243,duala,aa,21,5,7
dupa1235,Dupaningan Agta,ea,15,0,6
dupa1235,Dupaningan Agta; Eastern Cagayan Agta; Dupaninan Agta,ph,15,0,5
duru1236,Parji,ra,21,0,10
duru1249,duruma,aa,42,2,5
duru1249,Duruma,gm,40,2,5
dutc1256,Dutch,ea,18,0,25
dutc1256,Dutch,ph,24,0,15
dutc1256,Dutch,uz,139,2,172
duun1241,Duungidjawu,er,13,0,10
dyaa1242,Djabugay,er,13,0,6
dyab1238,Jabirr-Jabirr,er,17,0,3
dyan1250,Thanggati,er,13,0,6
dyir1250,Dyirbal,er,13,0,3
dyir1250,DYIRBAL,upsid,13,0,3
dyug1238,Jukun,er,22,0,6
dyul1238,dioula,aa,23,2,14
dzal1238,Southern Cuona,ea,37,0,22
dzon1239,Dzongkha,ea,32,0,26
dzuu1241,Dzuungoo,gm,26,3,26
east1436,NEPALI,upsid,27,0,12
east2282,Latgalian,ea,38,0,17
east2295,Eastern Yiddish,ea,24,0,13
east2295,Standard Yiddish,ph,38,0,9
east2304,Eastern Hill Balochi,ea,35,0,19
east2328,Cheremis,ph,19,0,8
east2328,Cheremis,spa,25,0,9
east2328,Eastern Mari,ea,22,0,9
east2328,MARI,upsid,25,0,8
east2328,Meadow Mari,ea,61,0,27
east2337,Eastern Yugur,ea,28,0,14
east2347,Tamang,ea,19,0,28
east2347,TAMANG,upsid,19,0,10
east2379,ARRERNTE,upsid,27,0,3
east2379,"Arrernte, Central",uz,27,0,4
east2379,Eastern Arrernte,er,40,0,4
east2380,Eastern Anmatyerre,er,40,0,4
east2398,Kar,ph,16,3,7
east2426,manding,aa,20,2,14
east2440,East Makian,ph,19,0,5
east2440,"Makian, East (Taba)",gm,18,0,5
east2440,Taba,ph,32,0,5
east2516,KEWA,upsid,15,0,5
east2542,Ojibwa,spa,16,0,11
