LanguageName,ejective,non_ejective,total,have_ejectives,is.gl
Lunda,0,22,22,FALSE,TRUE
Luvale,0,22,22,FALSE,TRUE
Luwo,0,19,19,FALSE,TRUE
Ma'di,0,45,45,FALSE,TRUE
Maay,0,22,22,FALSE,TRUE
Mabaan,0,19,19,FALSE,TRUE
Macedonian,0,26,26,FALSE,TRUE
machame,0,33,33,FALSE,TRUE
Macuna,0,10,10,FALSE,TRUE
Macushi,0,10,10,FALSE,TRUE
Madi,0,47,47,FALSE,TRUE
Madurese,0,27,27,FALSE,TRUE
Maithili,0,34,34,FALSE,TRUE
Mal,0,17,17,FALSE,TRUE
Malayalam,0,30,30,FALSE,TRUE
Maltese,0,45,45,FALSE,TRUE
mampruli,0,22,22,FALSE,TRUE
Mampruli,0,24,24,FALSE,TRUE
Manado Malay,0,19,19,FALSE,TRUE
Manam,0,13,13,FALSE,TRUE
Manange,0,30,30,FALSE,TRUE
MANCHU,0,18,18,FALSE,TRUE
Mandara,0,45,45,FALSE,TRUE
Mandarin Chinese,0,27,27,FALSE,TRUE
Manipuri,0,52,52,FALSE,TRUE
Manya,0,18,18,FALSE,TRUE
Maori,0,10,10,FALSE,TRUE
Mapoyo,0,12,12,FALSE,TRUE
Mapudungun,0,22,22,FALSE,TRUE
Mara,0,19,19,FALSE,TRUE
MARANAO,0,13,13,FALSE,TRUE
Marathi,0,42,42,FALSE,TRUE
Masalit,0,31,31,FALSE,TRUE
Matbat,0,15,15,FALSE,TRUE
Matses,0,15,15,FALSE,TRUE
Maung,0,19,19,FALSE,TRUE
MAUNG,0,17,17,FALSE,TRUE
MAXAKALI,0,10,10,FALSE,TRUE
Mayogo,0,33,33,FALSE,TRUE
Mazanderani,0,22,22,FALSE,TRUE
MBABARAM,0,20,20,FALSE,TRUE
Mbalanhu,0,23,23,FALSE,TRUE
Mbay,0,22,22,FALSE,TRUE
mbe,0,26,26,FALSE,TRUE
Mbe,0,48,48,FALSE,TRUE
Mbuko,0,34,34,FALSE,TRUE
mbukushu,0,22,22,FALSE,TRUE
MBUM,0,30,30,FALSE,TRUE
Me'en,3,23,26,TRUE,TRUE
Medumba,0,16,16,FALSE,TRUE
Mewati,0,30,30,FALSE,TRUE
Michif,0,25,25,FALSE,TRUE
Minangkabau,0,23,23,FALSE,TRUE
Mingrelian,6,24,30,TRUE,TRUE
Mmen,0,27,27,FALSE,TRUE
Mochica,0,20,20,FALSE,TRUE
Mocovi,0,23,23,FALSE,TRUE
Modern Greek,0,21,21,FALSE,TRUE
Modern Hebrew,0,24,24,FALSE,TRUE
mofu-gudur,0,35,35,FALSE,TRUE
Moken,0,42,42,FALSE,TRUE
Moklen,0,19,19,FALSE,TRUE
Mokpwe,0,22,22,FALSE,TRUE
Moloko,0,31,31,FALSE,TRUE
Mori Bawah,0,22,22,FALSE,TRUE
MORO,0,22,22,FALSE,TRUE
Moroccan Arabic,0,74,74,FALSE,TRUE
Morokodo,0,42,42,FALSE,TRUE
Moru,0,26,26,FALSE,TRUE
Movima,0,19,19,FALSE,TRUE
MOVIMA,0,18,18,FALSE,TRUE
Moyon,0,24,24,FALSE,TRUE
Muinane,0,22,22,FALSE,TRUE
MUINANE,0,22,22,FALSE,TRUE
MUMUYE,0,23,23,FALSE,TRUE
Muna,0,28,28,FALSE,TRUE
Mundabli,0,22,22,FALSE,TRUE
Mundang,0,37,37,FALSE,TRUE
mundani,0,23,23,FALSE,TRUE
Mundari,0,53,53,FALSE,TRUE
MUNDARI,0,32,32,FALSE,TRUE
Mungaka,0,21,21,FALSE,TRUE
Mungbam,0,24,24,FALSE,TRUE
Muniche,0,22,22,FALSE,TRUE
murle,0,20,20,FALSE,TRUE
MURSI,0,21,21,FALSE,TRUE
Muyang,0,27,27,FALSE,TRUE
mwaghavul,0,25,25,FALSE,TRUE
Mwotlap,0,15,15,FALSE,TRUE
myene,0,29,29,FALSE,TRUE
nafaanra,0,25,25,FALSE,TRUE
Naki,0,36,36,FALSE,TRUE
Namia,0,9,9,FALSE,TRUE
NANAI,0,18,18,FALSE,TRUE
Nandi,0,13,13,FALSE,TRUE
